1	ray0 health	ray0 type	ray0 r	ray0 diffang	ray+1 health	ray-1 health	ray+1 type	ray-1 type	ray+1r - ray-1r	ray+1diffang + ray-1diffang	Health
-0.0309867	-0.0986249	-0.00555063	-0.206406	-0.0552791	-0.0718134	0.00426138	-0.0992183	0.0283095	-0.0356813	0.110833	-0.0733821
-0.0845104	0.163502	0.0690131	0.240107	0.0622898	-0.0384492	0.23338	-0.0988805	-0.210946	0.074309	-0.0023532	0.0890112
0.0516198	-0.0355178	0.00218333	-0.0582587	-0.0047106	0.0365131	0.00393947	0.0624544	-0.216034	-0.0985065	0.0120711	-0.0621031
-0.0306299	0.0170862	0.015143	0.149244	-0.0377466	-0.0440234	0.0516153	-0.148623	-0.142373	0.0738428	0.147883	0.0231686
0.0798311	-0.0150176	0.0851397	0.069415	0.0123399	0.0201109	-0.0579748	0.272881	0.0782268	0.1645	0.0453964	-0.0483927
0.0648184	0.147443	0.0301345	0.133444	-0.163691	-0.12146	0.276544	0.0639328	-0.0269247	-0.00860944	-0.017226	-0.134036
-0.175706	-0.181741	0.129526	-0.254322	-0.116816	0.120461	-0.156197	0.101714	0.0599229	-0.0436732	0.149609	-0.0941371

0.11512	-0.0194926	-0.0340344
0.144769	-0.0605482	0.0751733
-0.11018	-0.064515	0.047256
0.173978	0.04791	-0.0362208
-0.0377855	-0.0399907	-0.894515
0.0394374	-0.0766775	1.54929e-040
0.0861947	-3.93623e-006	0

Ln(time)	record age	population
9.08432	1.6038	43
10.6555	8.1732	41
13.0918	9.9688	51
13.5939	12.616	59
13.9091	16.0512	58
14.9542	17.095	71
15.5288	17.9614	73
15.6916	22.1122	72
